BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMEA3174129,FST_11_450,GCF_000247815.1,ERR700020,Ficedula_semitorquata,PRJEB7359
SAMEA3174130,FST_16_450,GCF_000247815.1,ERR700021,Ficedula_semitorquata,PRJEB7359
SAMEA3174131,FST_19_450,GCF_000247815.1,ERR700022,Ficedula_semitorquata,PRJEB7359
SAMEA3174132,FST_1_450,GCF_000247815.1,ERR700023,Ficedula_semitorquata,PRJEB7359
SAMEA3174133,FST_20_450,GCF_000247815.1,ERR700024,Ficedula_semitorquata,PRJEB7359
SAMEA3174134,FST_21_450,GCF_000247815.1,ERR700025,Ficedula_semitorquata,PRJEB7359
SAMEA3174135,FST_22_450,GCF_000247815.1,ERR700026,Ficedula_semitorquata,PRJEB7359
SAMEA3174136,FST_24_450,GCF_000247815.1,ERR700027,Ficedula_semitorquata,PRJEB7359
SAMEA3174137,FST_27_450,GCF_000247815.1,ERR700028,Ficedula_semitorquata,PRJEB7359
SAMEA3174138,FST_2_450,GCF_000247815.1,ERR700029,Ficedula_semitorquata,PRJEB7359
SAMEA3174139,FST_32_450,GCF_000247815.1,ERR700030,Ficedula_semitorquata,PRJEB7359
SAMEA3174140,FST_34_450,GCF_000247815.1,ERR700031,Ficedula_semitorquata,PRJEB7359
SAMEA3174141,FST_35_450,GCF_000247815.1,ERR700032,Ficedula_semitorquata,PRJEB7359
SAMEA3174142,FST_36_450,GCF_000247815.1,ERR700033,Ficedula_semitorquata,PRJEB7359
SAMEA3174143,FST_37_450,GCF_000247815.1,ERR700034,Ficedula_semitorquata,PRJEB7359
SAMEA3174144,FST_39_450,GCF_000247815.1,ERR700035,Ficedula_semitorquata,PRJEB7359
SAMEA3174145,FST_41_450,GCF_000247815.1,ERR700036,Ficedula_semitorquata,PRJEB7359
SAMEA3174146,FST_4_450,GCF_000247815.1,ERR700037,Ficedula_semitorquata,PRJEB7359
SAMEA3174147,FST_5_450,GCF_000247815.1,ERR700038,Ficedula_semitorquata,PRJEB7359
SAMEA3174148,FST_7_450,GCF_000247815.1,ERR700039,Ficedula_semitorquata,PRJEB7359
